IdOrganizacao;IdCodigoIbge;Organizacao;Endereco;Bairro;Cep
638874765002145;3505708;WWW XXXX YYY;AL.AMAZONAS 253;ALPHAVILLE;6454070
638874765008655;3304557;WWW XXXX YYY;AV. DAS AMERICAS 2000;BARRA DA TIJUCA;22640101
638874765009870;3304557;WWW XXXX YYY;AV. DAS AMERICAS 4666;BARRA DA TIJUCA;22640102
638874765011085;3304557;WWW XXXX YYY;AV. DAS AMERICAS 4666;BARRA DA TIJUCA;22640102
638874765015510;3304557;WWW XXXX YYY;PRACA FLORIANO 19;CENTRO;20031050
638874765016725;3304557;WWW XXXX YYY;ESTRADA DO GABINAL 91;FREGUESIA;22760150
638874765018060;3304557;WWW XXXX YYY;RUA HILARIO DE GOUVEIA 74;COPACABANA;22040020
638874765028365;3304557;WWW XXXX YYY;AVN DOM HELDER CAMARA 5332;DEL CASTILHO;20751000
638874765029580;3304557;WWW XXXX YYY;AV. DOM HELDER CAMARA 5474;CACHAMBI;20751000
638874765039000;3304557;WWW XXXX YYY;AV.RIO BRANCO 100;CENTRO;20040000
638874765042945;3304557;WWW XXXX YYY;RUA SAO JOSE 70;CENTRO;20010020
638874765044160;3304557;WWW XXXX YYY;AVENIDA LAURO SODRE 445;BOTAFOGO;22290070
638874765431235;3518800;WWW XXXX YYY;ROD. PRES. DUTRAKM397/650 SN;ITAPEGICA;7034911
638874765519495;2607901;WWW XXXX YYY;AV. GAL. BARRETO DE MENEZES 800;Piedade;54325000
638874765832185;3136702;WWW XXXX YYY;AV. BARAO DO RIO BRANCO 4000;ALTO DOS PASSOS;36010010
638874766078665;3550308;WWW XXXX YYY;RUA DOMINGOS DE MORAIS 2564;VILA MARIANA;4036100
638874766196010;3509502;WWW XXXX YYY;AV.PROJETADA LESTE 500;JARDIM SANTA GENEBRA;13080395
638874766560045;3106200;WWW XXXX YYY;AV. GETULIO VARGAS 1300;FUNCIONARIOS;30112021
638874766891230;3106200;WWW XXXX YYY;AVENIDA ENGENHEIRO CARLOS GOULART 21;BURITI;30493030
638874767062815;3106200;WWW XXXX YYY;RUA MATIAS CARDOSO 26;SANTO AGOSTINHO;30170050
638874767398860;3151800;WWW XXXX YYY;AVENIDA JOÃO PINHEIRO S/N;CENTRO / JARDIM COUNTRY CLUB;37701386
